Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [mm];Y Position [mm];Abstand [mm];Abstand in x-Richtung [mm];Abstand in y-Richtung [mm];Strecke [mm];Strecke in x-Richtung [mm];Strecke in y-Richtung [mm];Geschwindigkeit [mm/s];Geschwindigkeit in x-Richtung [mm/s];Geschwindigkeit in y-Richtung [mm/s];Beschleunigung [mm/s²];Beschleunigung in x-Richtung [mm/s²];Beschleunigung in y-Richtung [mm/s²];
0;0;6;-118;1,55;-28,18;1,45;0,24;1,43;1,45;0,24;1,43;58,1;9,55;57,31;1371,14;179,81;1359,79;
1;0,025;8;-112;1,79;-26,75;3,14;0,48;3,1;4,59;0,72;4,54;92,38;14,05;91,31;1721,8;245,31;1704,28;
2;0,059;10;-99;2,27;-23,64;4,83;0,72;4,78;9,42;1,43;9,31;150,92;22,39;149,25;229,23;-59,97;239,87;
3;0,091;12;-79;2,99;-18,87;5,54;0,72;5,49;14,96;2,15;14,81;158,26;20,47;156,93;150,15;-405,28;184,68;
4;0,126;16;-56;3,7;-13,37;6,21;0,24;6,21;21,18;2,39;21,01;163,51;6,28;163,39;634,46;532,88;588,01;
5;0,164;16;-30;3,94;-7,16;5,07;0,72;5,01;26,24;3,1;26,03;187,62;26,53;185,74;2854,73;-743,7;2921,66;
6;0,191;20;-9;4,66;-2,15;9,79;0,24;9,79;36,04;3,34;35,82;264,7;6,45;264,62;-3063,6;866,56;-3196,16;
7;0,228;20;32;4,9;7,64;4,69;1,19;4,54;40,73;4,54;40,36;151,35;38,52;146,36;337,61;-308,74;414,16;
8;0,259;26;51;6,09;12,18;5,34;0,96;5,25;46,07;5,49;45,61;161,81;28,95;159,2;-721,82;187,04;-780,41;
9;0,292;30;73;7,04;17,43;4,69;1,19;4,54;50,76;6,69;50,15;137,99;35,12;133,45;-1136,74;-230,19;-1115,53;
10;0,326;34;92;8,24;21,97;3,48;0,96;3,34;54,24;7,64;53,49;99,34;27,29;95,52;-1498,25;-590,25;-1402,51;
11;0,361;38;106;9,19;25,31;1,69;0,24;1,67;55,92;7,88;55,16;46,91;6,63;46,43;-685,97;401,04;-1484,95;
12;0,397;40;113;9,43;26,99;0,76;0,72;-0,24;56,68;8,6;54,93;22,21;21,07;-7,02;907,56;-619,74;-1354,24;
13;0,431;42;112;10,15;26,75;1,43;0;-1,43;58,11;8,6;53,49;53,07;0;-53,07;2063,75;-268,02;-2054,82;
14;0,458;42;106;10,15;25,31;3,59;-0,24;-3,58;61,7;8,36;49,91;108,79;-7,24;-108,55;1178,06;6,45;-1180,29;
15;0,491;42;91;9,91;21,73;5,02;-0,24;-5,01;66,72;8,12;44,9;147,66;-7,02;-147,5;1962,81;26,48;-1965,15;
16;0,525;40;70;9,67;16,72;8,36;-0,24;-8,36;75,08;7,88;36,54;214,4;-6,12;-214,31;1547,54;-296,57;-1535,17;
17;0,564;40;35;9,43;8,36;7,42;-0,48;-7,4;82,5;7,4;29,13;274,75;-17,69;-274,18;-2325,97;149,75;2321,14;
18;0,591;38;4;8,96;0,96;7,42;-0,48;-7,4;89,92;6,93;21,73;211,95;-13,65;-211,51;-1488,37;-23,63;1494,57;
19;0,626;36;-27;8,48;-6,45;5,28;-0,48;-5,25;95,2;6,45;16,48;159,86;-14,47;-159,2;895,09;1096,45;-877,16;
20;0,659;34;-49;8;-11,7;6,25;0,72;-6,21;101,45;7,16;10,27;189,4;21,71;-188,15;-1052,04;-870,71;1019,05;
21;0,692;36;-75;8,72;-17,91;5,26;-0,24;-5,25;106,71;6,93;5,01;154,68;-7,02;-154,52;-1117,51;-219,1;1139,32;
22;0,726;36;-97;8,48;-23,16;3,85;-0,48;-3,82;110,56;6,45;1,19;116,69;-14,47;-115,78;-1727,63;0;1754,31;
23;0,759;34;-113;8;-26,99;1,97;-0,48;-1,91;112,53;5,97;-0,72;59,67;-14,47;-57,89;-956,95;-412,78;1754,31;
24;0,792;32;-121;7,52;-28,9;0,96;-0,96;0;113,48;5,01;-0,72;28,09;-28,09;0;594,05;436,11;1365,72;
25;0,826;28;-121;6,57;-28,9;1,74;-0,48;1,67;115,22;4,54;0,96;48,29;-13,27;46,43;1417,71;-21,68;1441,59;
26;0,862;26;-114;6,09;-27,22;3,38;-0,48;3,34;118,6;4,06;4,3;99,33;-14,05;98,33;-377,38;132,21;-363,58;
27;0,896;24;-100;5,61;-23,88;4,32;-0,48;4,3;122,92;3,58;8,6;86,5;-9,55;85,97;2510,99;-176,35;2505,63;
28;0,946;22;-82;5,13;-19,58;5,51;-0,48;5,49;128,44;3,1;14,09;212,05;-18,37;211,25;1106,93;-491,5;1059,79;
29;0,972;20;-59;4,66;-14,09;5,54;-0,72;5,49;133,97;2,39;19,58;240,83;-31,15;238,81;-1978,77;380,89;-1946,79;
30;0,995;16;-36;3,94;-8,6;6,25;-0,72;6,21;140,22;1,67;25,79;195,32;-22,39;194,03;513,9;41,15;521,29;
31;1,027;14;-10;3,22;-2,39;7,2;-0,72;7,16;147,42;0,96;32,96;211,76;-21,07;210,71;-333,22;1322,11;-344,3;
32;1,061;10;20;2,51;4,78;6,01;0,72;5,97;153,44;1,67;38,93;200,43;23,88;199;-2099,65;-597,01;-2056,38;
33;1,091;14;45;3,22;10,75;5,5;0,24;5,49;158,94;1,91;44,42;137,44;5,97;137,31;-451;-149,25;-447,76;
34;1,131;14;68;3,46;16,24;4,06;0;4,06;163;1,91;48,48;119,4;0;119,4;-225,77;-234,12;-234,12;
35;1,165;14;85;3,46;20,3;3,35;-0,24;3,34;166,35;1,67;51,82;111,73;-7,96;111,44;-1866,84;265,34;-1857,38;
36;1,195;14;99;3,22;23,64;1,67;0;1,67;168,02;1,67;53,49;55,72;0;55,72;-1616,16;241,22;-1857,38;
37;1,225;14;106;3,22;25,31;0,24;0,24;0;168,26;1,91;53,49;7,24;7,24;0;1021,26;-219,29;-1240,55;
38;1,258;14;106;3,46;25,31;1,43;0;-1,43;169,69;1,91;52,06;40,94;0;-40,94;1294,21;0;-1294,21;
39;1,293;14;100;3,46;23,88;3,1;0;-3,1;172,79;1,91;48,96;86,24;0;-86,24;1506,63;0;-1506,63;
40;1,329;14;87;3,46;20,78;4,78;0;-4,78;177,57;1,91;44,18;140,47;0;-140,47;2144,59;-250,85;-2139,57;
41;1,363;14;67;3,46;16;5,97;-0,24;-5,97;183,55;1,67;38,21;213,39;-8,53;-213,22;36,09;85,91;-39,05;
42;1,391;14;42;3,22;10,03;8,36;-0,24;-8,36;191,91;1,43;29,85;214,4;-6,12;-214,31;-636,51;368,15;638,85;
43;1,43;12;7;2,99;1,67;5,5;0,24;-5,49;197,4;1,67;24,36;189,58;8,23;-189,4;-193,26;582,85;246,59;
44;1,459;14;-16;3,22;-3,82;6,99;0,96;-6,93;204,4;2,63;17,43;183,97;25,14;-182,25;1284,69;236,25;-1263,96;
45;1,497;18;-45;4,18;-10,75;6,52;0,96;-6,45;210,91;3,58;10,99;232,79;34,12;-230,28;-2347,21;-701,5;2279,88;
46;1,525;22;-72;5,13;-17,19;5,51;0,48;-5,49;216,43;4,06;5,49;167,07;14,47;-166,44;-1630,75;-12,9;1638,22;
47;1,558;24;-95;5,61;-22,69;3,85;0,48;-3,82;220,28;4,54;1,67;113,25;14,05;-112,38;-1426,43;0;1446,06;
48;1,592;26;-111;6,09;-26,51;2,2;0,48;-2,15;222,48;5,01;-0,48;64,76;14,05;-63,21;-1428,65;12,52;1646,38;
49;1,626;28;-120;6,57;-28,66;0,53;0,48;-0,24;223,01;5,49;-0,72;16,18;14,47;-7,24;788,32;219,29;1315,74;
50;1,659;30;-121;7,04;-28,9;1,39;0,72;1,19;224,41;6,21;0,48;42,2;21,71;36,18;1310,64;-232,19;1457,63;
51;1,692;32;-116;7,76;-27,7;2,91;0,48;2,87;227,31;6,69;3,34;85,45;14,05;84,28;1664,66;206,58;1652,64;
52;1,726;34;-104;8,24;-24,84;4,83;0,72;4,78;232,14;7,4;8,12;142,05;21,07;140,47;-319,45;-393,17;-279,88;
53;1,76;38;-84;8,96;-20,06;4,07;0,24;4,06;236,21;7,64;12,18;131,18;7,7;130,96;1747,45;-908,79;1718,18;
54;1,791;38;-67;9,19;-16;6,49;-0,72;6,45;242,7;6,93;18,63;185,36;-20,47;184,22;34,62;584,83;67,01;
55;1,826;36;-40;8,48;-9,55;5,97;0;5,97;248,67;6,93;24,6;186,57;0;186,57;-282,41;213,22;-286,51;
56;1,858;36;-15;8,48;-3,58;6,21;0,24;6,21;254,88;7,16;30,81;177,53;6,82;177,4;3556,84;-194,94;3560,59;
57;1,893;36;11;8,72;2,63;10,27;0;10,27;265,15;7,16;41,07;302,02;0;302,02;-5418,14;638,52;-5477,49;
58;1,927;36;54;8,72;12,9;3,89;0,72;3,82;269,03;7,88;44,9;117,8;21,71;115,78;1104,8;-424,43;1160,11;
59;1,96;40;70;9,43;16,72;4,78;0,24;4,78;273,82;8,12;49,67;154,26;7,7;154,07;-1894,79;-248,5;-1888,58;
60;1,991;40;90;9,67;21,49;3,34;0;3,34;277,16;8,12;53,01;95,52;0;95,52;-1075,14;0;-1075,14;
61;2,026;40;104;9,67;24,84;1,91;0;1,91;279,07;8,12;54,93;57,89;0;57,89;-1096,45;-657,87;-1754,31;
62;2,059;40;112;9,67;26,75;0,72;-0,72;0;279,79;7,4;54,93;21,71;-21,71;0;688,25;232,19;-1277,04;
63;2,092;38;112;8,96;26,75;1,51;-0,48;-1,43;281,3;6,93;53,49;44,42;-14,05;-42,14;1836,11;-245,31;-1833,39;
64;2,126;36;106;8,48;25,31;3,42;-0,72;-3,34;284,72;6,21;50,15;106,85;-22,39;-104,48;1273,37;-204,94;-1257,91;
65;2,158;32;92;7,76;21,97;4,87;-0,96;-4,78;289,59;5,25;45,37;147,6;-28,95;-144,73;843,1;-363,39;-783,18;
66;2,191;28;72;6,81;17,19;6,14;-1,43;-5,97;295,73;3,82;39,4;175,42;-40,94;-170,58;-592;342,63;531,66;
67;2,226;22;47;5,37;11,22;5,11;-0,96;-5,01;300,83;2,87;34,39;154,7;-28,95;-151,97;4532,72;438,58;-4605,07;
68;2,259;18;26;4,42;6,21;10,04;-0,48;-10,03;310,87;2,39;24,36;304,28;-14,47;-303,93;-3682,66;651,42;3676,32;
69;2,292;16;-16;3,94;-3,82;6,21;0,24;-6,21;317,09;2,63;18,15;182,75;7,02;-182,62;387,37;-632,26;-375,6;
70;2,326;18;-42;4,18;-10,03;6,47;-0,48;-6,45;323,55;2,15;11,7;195,92;-14,47;-195,39;-874,35;0;877,16;
71;2,359;16;-69;3,7;-16,48;5,51;-0,48;-5,49;329,07;1,67;6,21;167,07;-14,47;-166,44;-1630,75;12,9;1638,22;
72;2,392;14;-92;3,22;-21,97;3,85;-0,48;-3,82;332,92;1,19;2,39;113,25;-14,05;-112,38;-1415,44;413,16;1389,72;
73;2,426;12;-108;2,75;-25,79;2,15;0;-2,15;335,07;1,19;0,24;65,13;0;-65,13;-1248,83;-402,03;1370,56;
74;2,459;12;-117;2,75;-27,94;0,86;-0,48;-0,72;335,93;0,72;-0,48;23,92;-13,27;-19,9;619,53;368,53;1836,69;
75;2,495;10;-120;2,27;-28,66;1,43;0;1,43;337,36;0,72;0,96;46,22;0;46,22;1076,82;0;1076,82;
76;2,526;10;-114;2,27;-27,22;2,63;0;2,63;339,99;0,72;3,58;79,6;0;79,6;948,32;371,1;927,76;
77;2,559;10;-103;2,27;-24,6;4,32;0,48;4,3;344,31;1,19;7,88;110,9;12,25;110,22;1919,01;-314,01;1936,41;
78;2,598;12;-85;2,75;-20,3;5,01;0;5,01;349,33;1,19;12,9;185,74;0;185,74;-173,32;-268,02;-178,68;
79;2,625;12;-64;2,75;-15,28;5,97;-0,24;5,97;355,3;0,96;18,87;181,06;-7,24;180,91;438,25;438,58;438,58;
80;2,658;10;-39;2,51;-9,31;6,45;0,24;6,45;361,75;1,19;25,31;195,52;7,24;195,39;-533,27;194,23;-545,09;
81;2,691;12;-12;2,75;-2,87;6,23;0,48;6,21;367,98;1,67;31,52;177,92;13,65;177,4;-697,5;230,39;-726,61;
82;2,726;14;14;3,22;3,34;5,07;0,72;5,01;373,05;2,39;36,54;153,51;21,71;151,97;2057,13;657,87;1973,6;
83;2,759;16;35;3,94;8,36;7,31;1,43;7,16;380,35;3,82;43,7;221,4;43,42;217,1;-2519,45;-877,16;-2412,18;
84;2,792;22;65;5,37;15,52;4,56;0,48;4,54;384,91;4,3;48,24;138,25;14,47;137,49;-835,03;219,29;-877,16;
85;2,825;24;84;5,85;20,06;3,65;0,72;3,58;388,57;5,01;51,82;110,7;21,71;108,55;-1118,16;-219,29;-1096,45;
86;2,858;28;99;6,57;23,64;2,44;0,48;2,39;391;5,49;54,21;73,8;14,47;72,37;-1634,32;-12,9;-1767,21;
87;2,891;30;109;7,04;26,03;0,68;0,48;0,48;391,68;5,97;54,69;19,87;14,05;14,05;528,17;0;-1446,06;
88;2,925;32;111;7,52;26,51;1,29;0,48;-1,19;392,96;6,45;53,49;37,82;14,05;-35,12;1238,42;-200,32;-1308,34;
89;2,959;34;106;8;25,31;2,64;0,24;-2,63;395,6;6,69;50,87;79,93;7,24;-79,6;1750,13;-438,58;-1754,31;
90;2,992;34;95;8,24;22,69;4,54;-0,24;-4,54;400,15;6,45;46,33;137,68;-7,24;-137,49;807,14;-194,23;-795,71;
91;3,025;34;76;8;18,15;5,75;-0,48;-5,73;405,9;5,97;40,6;164,32;-13,65;-163,75;2957,99;596,65;-2971,41;
92;3,06;32;52;7,52;12,42;8,84;0,24;-8,84;414,74;6,21;31,76;267,85;7,24;-267,75;-424,51;6,85;424,87;
93;3,093;32;15;7,76;3,58;8,12;0,24;-8,12;422,86;6,45;23,64;253,84;7,46;-253,73;-2335,52;-233,21;2332,09;
94;3,125;34;-19;8;-4,54;6,45;0;-6,45;429,31;6,45;17,19;179,1;0;-179,1;-62,56;585,31;97,55;
95;3,161;34;-46;8;-10,99;6,01;0,72;-5,97;435,32;7,16;11,22;176,85;21,07;-175,59;-890,73;-393,17;859,64;
96;3,195;36;-71;8,72;-16,96;4,54;0,24;-4,54;439,86;7,4;6,69;146,57;7,7;-146,36;-772,18;-248,5;765,64;
97;3,226;38;-90;8,96;-21,49;4,54;0;-4,54;444,4;7,4;2,15;122,63;0;-122,63;-1044,66;-445,12;1088,74;
98;3,263;38;-109;8,96;-26,03;2,44;-0,48;-2,39;446,84;6,93;-0,24;83,98;-16,47;-82,35;-2210,75;83,52;2355,15;
99;3,292;36;-119;8,48;-28,42;0,68;-0,48;-0,48;447,51;6,45;-0,72;19,87;-14,05;-14,05;267,06;413,16;1264,52;
100;3,326;34;-121;8;-28,9;0,96;0;0,96;448,47;6,45;0,24;28,95;0;28,95;1651,19;-452,28;1610,41;
101;3,359;34;-117;8;-27,94;2,67;-0,48;2,63;451,14;5,97;2,87;83,44;-14,93;82,09;1367,79;27,44;1385,54;
102;3,391;32;-106;7,52;-25,31;4,32;-0,48;4,3;455,46;5,49;7,16;127,2;-14,05;126,43;30,21;-651,04;-100,16;
103;3,425;30;-88;7,04;-21,01;4,23;-1,19;4,06;459,69;4,3;11,22;128,23;-36,18;123,02;1115;476,17;1234,29;
104;3,458;24;-71;5,85;-16,96;5,78;-0,72;5,73;465,47;3,58;16,96;165,03;-20,47;163,75;-620,58;31,61;-621,71;
105;3,493;22;-47;5,13;-11,22;5,3;-0,72;5,25;470,77;2,87;22,21;143,31;-19,36;141,99;2154,62;308,17;2186,29;
106;3,53;18;-25;4,42;-5,97;6,69;-0,24;6,69;477,46;2,63;28,9;223,03;-7,96;222,89;-496,43;8,56;-496,44;
107;3,56;18;3;4,18;0,72;6,45;-0,24;6,45;483,91;2,39;35,34;208,13;-7,7;207,99;324,28;701,64;314,28;
108;3,591;16;30;3,94;7,16;7,42;0,48;7,4;491,33;2,87;42,75;218,19;14,05;217,73;-2280,53;-619,74;-2272,38;
109;3,625;18;61;4,42;14,57;4,78;-0,24;4,78;496,11;2,63;47,52;140,65;-7,02;140,47;-844,39;206,58;-839,23;
110;3,659;18;81;4,18;19,34;3,58;0;3,58;499,7;2,63;51,1;111,94;0;111,94;-1522,72;0;-1522,72;
111;3,691;18;96;4,18;22,93;2,15;0;2,15;501,85;2,63;53,25;63,21;0;63,21;-1257,21;-425,68;-1433,54;
112;3,725;18;105;4,18;25,07;0,68;-0,48;0,48;502,52;2,15;53,73;20,47;-14,47;14,47;497,92;657,87;-1535,02;
113;3,758;16;107;3,7;25,55;1,22;0,24;-1,19;503,74;2,39;52,54;36,9;7,24;-36,18;1261,46;-644,97;-1244,79;
114;3,791;16;102;3,94;24,36;2,67;-0,48;-2,63;506,41;1,91;49,91;78,53;-14,05;-77,26;1226,44;0;-1239,48;
115;3,825;14;91;3,46;21,73;4,09;-0,48;-4,06;510,5;1,43;45,85;120,23;-14,05;-119,4;1804,37;-464,8;-1755,93;
116;3,859;12;74;2,99;17,67;5,81;-0,96;-5,73;516,31;0,48;40,12;181,58;-29,85;-179,1;-224,74;731,14;151,27;
117;3,891;8;50;2,03;11,94;6,45;-0,24;-6,45;522,76;0,24;33,67;174,38;-6,45;-174,26;1922,86;353,72;-1923,67;
118;3,928;8;23;1,79;5,49;8,84;0,24;-8,84;531,6;0,48;24,84;245,53;6,63;-245,44;-186,75;-184,26;184,26;
119;3,964;8;-14;2,03;-3,34;6,69;0;-6,69;538,29;0,48;18,15;238,81;0;-238,81;-3752,59;1312,12;3936,36;
120;3,992;8;-42;2,03;-10,03;5,22;1,43;-5,01;543,5;1,91;13,13;133,73;36,74;-128,59;2018,53;-715,25;-2145,75;
121;4,031;14;-63;3,46;-15,04;5,74;0,24;-5,73;549,24;2,15;7,4;212,46;8,84;-212,27;-3415,91;192,69;3439,59;
122;4,058;16;-87;3,7;-20,78;4,09;0,48;-4,06;553,32;2,63;3,34;120,23;14,05;-119,4;-1399,9;-61,97;1404,74;
123;4,092;18;-104;4,18;-24,84;2,91;0,48;-2,87;556,23;3,1;0,48;72,63;11,94;-71,64;-826,89;143,73;906,58;
124;4,132;20;-116;4,66;-27,7;1,07;0,48;-0,96;557,3;3,58;-0,48;39,55;17,69;-35,38;-468,42;-102,37;2139,51;
125;4,159;22;-120;5,13;-28,66;0,86;0,48;0,72;558,16;4,06;0,24;26,91;14,93;22,39;1273,17;-51,82;1373,34;
126;4,191;24;-117;5,61;-27,94;2,44;0,48;2,39;560,59;4,54;2,63;67,65;13,27;66,33;1857,94;487,41;1795,09;
127;4,227;26;-107;6,09;-25,55;4,17;0,96;4,06;564,77;5,49;6,69;134,53;30,81;130,96;423,57;-1220,56;533,54;
128;4,258;30;-90;7,04;-21,49;5,02;-0,24;5,01;569,79;5,25;11,7;147,66;-7,02;147,5;-825,82;401,68;-826,32;
129;4,292;28;-69;6,81;-16,48;4,31;0,24;4,3;574,09;5,49;16;119,59;6,63;119,4;1813,75;-184,26;1818,86;
130;4,328;30;-51;7,04;-12,18;5,73;0;5,73;579,82;5,49;21,73;184,88;0;184,88;356,13;466,87;338,86;
131;4,359;30;-27;7,04;-6,45;6,47;0,48;6,45;586,29;5,97;28,18;195,92;14,47;195,39;-155;199,94;-174,14;
132;4,392;32;0;7,52;0;6,49;0,72;6,45;592,77;6,69;34,63;190,81;21,07;189,64;99,01;-400,25;129,11;
133;4,426;34;27;8,24;6,45;6,21;0,24;6,21;598,99;6,93;40,84;194,17;7,46;194,03;-119,05;671,36;-183,74;
134;4,458;36;53;8,48;12,66;6,28;0,96;6,21;605,27;7,88;47,04;190,36;28,95;188,15;-1293,9;-664,32;-1231,89;
135;4,491;40;79;9,43;18,87;5,02;0,24;5,01;610,29;8,12;52,06;147,66;7,02;147,5;-2296,57;194,78;-2331,4;
136;4,525;40;100;9,67;23,88;2,44;0,48;2,39;612,73;8,6;54,45;69,58;13,65;68,23;-1208,27;-389,89;-1169,66;
137;4,56;42;110;10,15;26,27;0,96;0;0,96;613,68;8,6;55,4;27,29;0;27,29;67,82;-379,06;-1537,89;
138;4,595;42;114;10,15;27,22;1,07;-0,48;-0,96;614,75;8,12;54,45;29,67;-13,27;-26,53;1357,26;-21,68;-1409,08;
139;4,631;40;110;9,67;26,27;2,67;-0,48;-2,63;617,42;7,64;51,82;78,53;-14,05;-77,26;2156,26;-555,63;-2087,17;
140;4,665;38;99;9,19;23,64;4,4;-0,96;-4,3;621,82;6,69;47,52;151,84;-32,94;-148,22;-596,75;73,28;595,39;
141;4,694;34;81;8,24;19,34;4,17;-0,96;-4,06;625,99;5,73;43,46;134,53;-30,81;-130,96;6421,09;293,68;-6513,64;
142;4,725;30;64;7,28;15,28;11,01;-0,72;-10,99;637;5,01;32,48;333,59;-21,71;-332,88;-3921,73;232,19;3914,96;
143;4,758;28;18;6,57;4,3;6,94;-0,48;-6,93;643,94;4,54;25,55;204,17;-14,05;-203,69;412;-225,36;-394,38;
144;4,792;26;-11;6,09;-2,63;7,2;-0,72;-7,16;651,14;3,82;18,39;218,18;-21,71;-217,1;-1503,34;657,87;1470,53;
145;4,825;22;-41;5,37;-9,79;5,73;0;-5,73;656,88;3,82;12,66;168,57;0;-168,57;-562,61;-219,49;568,09;
146;4,859;22;-65;5,37;-15,52;4,78;-0,24;-4,78;661,66;3,58;7,88;149,44;-7,46;-149,25;-808,43;-193,23;826,23;
147;4,891;22;-85;5,13;-20,3;4,32;-0,48;-4,3;665,98;3,1;3,58;123,57;-13,65;-122,81;-1015,25;-23,63;1027,88;
148;4,926;20;-103;4,66;-24,6;2,91;-0,48;-2,87;668,89;2,63;0,72;88,04;-14,47;-86,84;-1656,43;-13,71;1726,9;
149;4,959;18;-115;4,18;-27,46;1,07;-0,48;-0,96;669,96;2,15;-0,24;33,37;-14,93;-29,85;-251,56;27,44;1591,31;
150;4,991;16;-119;3,7;-28,42;0,86;-0,48;0,72;670,82;1,67;0,48;25,32;-14,05;21,07;1114,38;413,16;1239,48;
151;5,025;14;-116;3,22;-27,7;2,15;0;2,15;672,97;1,67;2,63;63,21;0;63,21;1572,72;-425,68;1546,22;
152;5,059;14;-107;3,22;-25,55;3,85;-0,48;3,82;676,82;1,19;6,45;116,69;-14,47;115,78;291,77;57,71;300,08;
153;5,092;12;-91;2,75;-21,73;4,8;-0,48;4,78;681,62;0,72;11,22;126,31;-12,57;125,69;715,89;330,76;732,39;
154;5,13;10;-71;2,27;-16,96;4,3;0;4,3;685,91;0,72;15,52;153,52;0;153,52;741,46;-516,9;719,96;
155;5,158;10;-53;2,27;-12,66;5,75;-0,48;5,73;691,67;0,24;21,25;174,28;-14,47;173,68;347,24;438,58;365,48;
156;5,191;8;-29;1,79;-6,93;6,69;0;6,69;698,35;0,24;27,94;185,74;0;185,74;-179,95;207,3;-184,26;
157;5,227;8;-1;1,79;-0,24;5,74;0,24;5,73;704,09;0,48;33,67;179,26;7,46;179,1;731,4;552,34;687,35;
158;5,259;8;23;2,03;5,49;7,7;0,96;7,64;711,79;1,43;41,31;202,66;25,14;201,1;-1343,26;262,66;-1410,58;
159;5,297;12;55;2,99;13,13;5,16;1,19;5,01;716,95;2,63;46,33;151,62;35,12;147,5;-29,46;-772,76;84,16;
